"year","fa.action_name","region_name","age_group","active_count","actions_count"
2026,"1.2. Донорство","","18-24",5,5
2026,"1.2. Донорство","","55-64",1,1
2026,"1.2. Донорство","","36-54",10,11
2026,"1.2. Донорство","","25-35",11,13
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником","","55-64",17,17
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником","","18-24",3,3
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником","","36-54",57,57
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником","","25-35",23,23
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника","","18-24",3,4
2026,"1.4. Создание проектов","","55-64",4,4
2026,"1.4. Создание проектов","","36-54",4,4
2026,"1.4. Создание проектов","","25-35",1,1
2026,"1.4. Создание проектов","","18-24",1,2
2026,"1.5. Создание мероприятий","","55-64",1,1
2026,"1.5. Создание мероприятий","","25-35",1,1
2026,"1.6. Добро Взаимно (закрытые сделки)","","36-54",3,3
2026,"1.6. Добро Взаимно (закрытые сделки)","","25-35",4,7
2026,"1.8. Малые добрые дела в ленте добрых дел","","25-35",1,2
2026,"1.8. Малые добрые дела в ленте добрых дел","","36-54",6,17
2026,"1.8. Малые добрые дела в ленте добрых дел","","55-64",1,5
2026,"1.8. Малые добрые дела в ленте добрых дел","","18-24",1,3
2026,"2.1. Сертификаты Добро Университет","","25-35",93,138
2026,"2.1. Сертификаты Добро Университет","","55-64",67,80
2026,"2.1. Сертификаты Добро Университет","","36-54",121,175
2026,"2.1. Сертификаты Добро Университет","","14-17",30,53
2026,"2.1. Сертификаты Добро Университет","","0-13",3,5
2026,"2.1. Сертификаты Добро Университет","","18-24",138,207
2026,"2.2. Посещение мероприятий","","36-54",1,1
2026,"2.2. Посещение мероприятий","","25-35",2,2
2026,"2.2. Посещение мероприятий","","55-64",3,3
2026,"2.2. Посещение мероприятий","","18-24",11,11
2026,"2.3. Пройденный путь волонтера","","25-35",34,34
2026,"2.3. Пройденный путь волонтера","","36-54",29,32
2026,"2.3. Пройденный путь волонтера","","14-17",1,1
2026,"2.3. Пройденный путь волонтера","","18-24",37,39
2026,"2.3. Пройденный путь волонтера","","55-64",9,9
2026,"2.3. Пройденный путь волонтера","","0-13",2,2
2026,"2.5. Готов помогать проекту","","0-13",2,3
2026,"2.5. Готов помогать проекту","","25-35",16,27
2026,"2.5. Готов помогать проекту","","55-64",18,24
2026,"2.5. Готов помогать проекту","","18-24",16,21
2026,"2.5. Готов помогать проекту","","14-17",4,5
2026,"2.5. Готов помогать проекту","","36-54",18,19
2026,"2.6. Готов помогать организации","","0-13",13,21
2026,"2.6. Готов помогать организации","","14-17",116,213
2026,"2.6. Готов помогать организации","","55-64",103,128
2026,"2.6. Готов помогать организации","","36-54",116,198
2026,"2.6. Готов помогать организации","","25-35",140,203
2026,"2.6. Готов помогать организации","","18-24",239,526
2026,"3.1. Подал заявку на конкурс","","25-35",1,1
2026,"3.2. Заявка в Добро Центр","","25-35",2,2
2026,"3.2. Заявка в Добро Центр","","55-64",4,4
2026,"3.3. Написал статью в Добро Медиа","","36-54",6,15
2026,"3.3. Написал статью в Добро Медиа","","55-64",6,28
2026,"3.3. Написал статью в Добро Медиа","","18-24",1,1
2026,"3.3. Написал статью в Добро Медиа","","25-35",4,3646
2026,"4.1. Прикрепил Госуслуги","","18-24",248,248
2026,"4.1. Прикрепил Госуслуги","","25-35",317,317
2026,"4.1. Прикрепил Госуслуги","","55-64",100,100
2026,"4.1. Прикрепил Госуслуги","","14-17",69,69
2026,"4.1. Прикрепил Госуслуги","","36-54",371,371
2026,"4.2. Волонтер откликнулся на вакансию","","25-35",314,650
2026,"4.2. Волонтер откликнулся на вакансию","","18-24",594,1829
2026,"4.2. Волонтер откликнулся на вакансию","","0-13",25,87
2026,"4.2. Волонтер откликнулся на вакансию","","14-17",245,1146
2026,"4.2. Волонтер откликнулся на вакансию","","55-64",157,430
2026,"4.2. Волонтер откликнулся на вакансию","","36-54",307,915
2026,"4.5. Логинился > 2 раз в мобильном приложении","","18-24",7,7
2026,"4.5. Логинился > 2 раз в мобильном приложении","","36-54",8,8
2026,"4.5. Логинился > 2 раз в мобильном приложении","","14-17",9,9
2026,"4.5. Логинился > 2 раз в мобильном приложении","","55-64",6,6
2026,"4.5. Логинился > 2 раз в мобильном приложении","","25-35",2,2
2026,"4.6. Прошел опрос NPS","","18-24",181,181
2026,"4.6. Прошел опрос NPS","","14-17",15,15
2026,"4.6. Прошел опрос NPS","","55-64",871,872
2026,"4.6. Прошел опрос NPS","","36-54",614,614
2026,"4.6. Прошел опрос NPS","","0-13",6,6
2026,"4.6. Прошел опрос NPS","","25-35",256,256
2026,"4.7. Пригласил пользователя по реферальной ссылке","","25-35",1,1
2026,"4.7. Пригласил пользователя по реферальной ссылке","","18-24",11,11
2026,"4.8. Заполнил отзыв о мероприятии","","0-13",3,10
2026,"4.8. Заполнил отзыв о мероприятии","","14-17",8,19
2026,"4.8. Заполнил отзыв о мероприятии","","25-35",10,41
2026,"4.8. Заполнил отзыв о мероприятии","","55-64",7,26
2026,"4.8. Заполнил отзыв о мероприятии","","36-54",16,34
2026,"4.8. Заполнил отзыв о мероприятии","","18-24",10,12
2026,"1.2. Донорство",Алтайский край,"55-64",1,1
2026,"1.2. Донорство",Алтайский край,"36-54",33,36
2026,"1.2. Донорство",Алтайский край,"25-35",26,32
2026,"1.2. Донорство",Алтайский край,"18-24",40,43
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Алтайский край,"55-64",5,5
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Алтайский край,"18-24",2,2
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Алтайский край,"25-35",15,15
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Алтайский край,"36-54",30,30
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Алтайский край,"18-24",12,12
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Алтайский край,"25-35",2,3
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Алтайский край,"14-17",15,15
2026,"1.4. Создание проектов",Алтайский край,"25-35",2,2
2026,"1.4. Создание проектов",Алтайский край,"14-17",4,4
2026,"1.4. Создание проектов",Алтайский край,"36-54",5,5
2026,"1.5. Создание мероприятий",Алтайский край,"36-54",8,15
2026,"1.5. Создание мероприятий",Алтайский край,"18-24",5,15
2026,"1.5. Создание мероприятий",Алтайский край,"25-35",3,3
2026,"1.5. Создание мероприятий",Алтайский край,"55-64",1,1
2026,"1.6. Добро Взаимно (закрытые сделки)",Алтайский край,"25-35",1,2
2026,"1.6. Добро Взаимно (закрытые сделки)",Алтайский край,"55-64",1,1
2026,"1.6. Добро Взаимно (закрытые сделки)",Алтайский край,"18-24",1,1
2026,"1.6. Добро Взаимно (закрытые сделки)",Алтайский край,"36-54",2,2
2026,"1.6. Добро Взаимно (закрытые сделки)",Алтайский край,"14-17",1,1
2026,"1.8. Малые добрые дела в ленте добрых дел",Алтайский край,"14-17",1,1
2026,"1.8. Малые добрые дела в ленте добрых дел",Алтайский край,"55-64",3,15
2026,"1.8. Малые добрые дела в ленте добрых дел",Алтайский край,"25-35",3,6
2026,"1.8. Малые добрые дела в ленте добрых дел",Алтайский край,"18-24",1,1
2026,"1.8. Малые добрые дела в ленте добрых дел",Алтайский край,"36-54",14,44
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"25-35",49,84
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"18-24",274,558
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"0-13",1,2
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"55-64",13,16
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"36-54",89,188
2026,"2.1. Сертификаты Добро Университет",Алтайский край,"14-17",289,311
2026,"2.2. Посещение мероприятий",Алтайский край,"18-24",10,10
2026,"2.2. Посещение мероприятий",Алтайский край,"14-17",7,7
2026,"2.2. Посещение мероприятий",Алтайский край,"25-35",9,9
2026,"2.2. Посещение мероприятий",Алтайский край,"55-64",1,1
2026,"2.2. Посещение мероприятий",Алтайский край,"36-54",3,4
2026,"2.3. Пройденный путь волонтера",Алтайский край,"18-24",83,86
2026,"2.3. Пройденный путь волонтера",Алтайский край,"25-35",18,18
2026,"2.3. Пройденный путь волонтера",Алтайский край,"14-17",5,6
2026,"2.3. Пройденный путь волонтера",Алтайский край,"36-54",26,30
2026,"2.3. Пройденный путь волонтера",Алтайский край,"55-64",6,6
