"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2026,"",3443,23,318,1794,992,285,32
2026,Алтайский край,6249,125,2528,2335,439,677,147
2026,Амурская область,2179,134,1057,494,189,246,60
2026,Архангельская область,1870,52,683,428,114,305,288
2026,Астраханская область,3006,141,1392,763,197,378,137
2026,Белгородская область,7149,946,2124,2343,666,837,234
2026,Брянская область,1913,172,798,494,153,245,51
2026,Владимирская область,4247,173,1684,785,505,936,165
2026,Волгоградская область,5223,332,1931,1553,424,776,207
2026,Вологодская область,2367,178,717,569,195,402,306
2026,Воронежская область,45423,4597,16407,5160,5174,12104,1987
2026,Донецкая Народная Республика,3225,67,1019,1202,322,536,79
2026,Еврейская автономная область,413,21,201,85,46,53,7
2026,Забайкальский край,1654,133,628,442,141,233,77
2026,Запорожская область,336,14,115,105,42,54,6
2026,Ивановская область,2188,105,699,777,122,352,134
2026,Иркутская область,7023,317,2298,2130,535,1122,622
2026,Кабардино-Балкарская Республика,1619,48,907,462,81,118,7
2026,Калининградская область,2915,232,1064,713,287,480,139
2026,Калужская область,2798,193,1046,713,296,467,83
2026,Камчатский край,648,54,289,93,69,127,16
2026,Карачаево-Черкесская Республика,1067,106,605,227,53,63,13
2026,Кемеровская область - Кузбасс,7440,241,2703,2498,583,1117,299
2026,Кировская область,2519,141,1080,579,205,359,155
2026,Костромская область,1140,48,428,211,106,247,100
2026,Краснодарский край,18285,665,7185,4815,1701,3023,904
2026,Красноярский край,7734,294,2642,2026,910,1365,500
2026,Курганская область,1842,66,690,550,125,273,139
2026,Курская область,2596,89,999,595,239,495,181
2026,Ленинградская область,3313,193,1362,601,324,636,197
2026,Липецкая область,4163,927,1725,531,349,517,114
2026,Луганская Народная Республика,2155,88,829,671,228,302,37
2026,Магаданская область,287,10,86,57,51,69,14
2026,Москва,28701,1418,9006,10536,3116,3944,683
2026,Московская область,17449,812,7414,2864,1627,3898,836
2026,Мурманская область,1699,114,539,297,259,423,67
2026,Ненецкий автономный округ,143,6,48,46,7,33,3
2026,Нижегородская область,5661,360,2113,1219,575,1103,291
2026,Новгородская область,1448,158,585,248,179,243,36
2026,Новосибирская область,21305,844,7871,4269,1788,4776,1760
2026,Омская область,3537,329,1074,977,341,646,170
2026,Оренбургская область,6307,227,2147,1383,721,1456,373
2026,Орловская область,1525,43,405,575,185,285,32
2026,Пензенская область,2250,306,1003,445,171,282,43
2026,Пермский край,7807,272,2769,1802,773,1584,610
2026,Приморский край,4872,221,2109,1191,363,795,195
